fid,fid_2,geometry
1,819,Point (400703.58485028729774058 6545852.33629920613020658)
1,4,Point (400703.58485028729774058 6545852.33629920613020658)
1,4,Point (402359.00201544776791707 6543514.54374393168836832)
1,282,Point (402359.00201544776791707 6543514.54374393168836832)
2,5,Point (384268.15380362432915717 6528147.29421006422489882)
2,283,Point (384268.15380362432915717 6528147.29421006422489882)
2,2442,Point (384772.26362349139526486 6528950.77946495823562145)
2,3,Point (384772.26362349139526486 6528950.77946495823562145)
3,5,Point (384075.77430807118071243 6528047.12193884328007698)
3,2442,Point (384772.26362349139526486 6528950.77946495823562145)
3,2,Point (384772.26362349139526486 6528950.77946495823562145)
4,819,Point (400703.58485028729774058 6545852.33629920613020658)
4,282,Point (402359.00201544776791707 6543514.54374393168836832)
4,1,Point (402359.00201544776791707 6543514.54374393168836832)
4,1,Point (400703.58485028729774058 6545852.33629920613020658)
5,283,Point (384268.15380362432915717 6528147.29421006422489882)
5,3,Point (384075.77430807118071243 6528047.12193884328007698)
5,2,Point (384268.15380362432915717 6528147.29421006422489882)
6,283,Point (386603.93976988934446126 6523446.72885220963507891)
6,10,Point (386603.93976988934446126 6523446.72885220963507891)
6,10,Point (387558.15934051037766039 6521681.78796080127358437)
7,1974,Point (643378.78019831504207104 6647183.95203340891748667)
7,9,Point (644658.047517268685624 6646362.67869382817298174)
7,8,Point (643378.78019831504207104 6647183.95203340891748667)
7,1783,Point (644658.047517268685624 6646362.67869382817298174)
8,7,Point (643378.78019831504207104 6647183.95203340891748667)
8,1974,Point (643378.78019831504207104 6647183.95203340891748667)
8,9,Point (646016.2251723303925246 6644402.28480145987123251)
9,7,Point (644658.047517268685624 6646362.67869382817298174)
9,8,Point (646016.2251723303925246 6644402.28480145987123251)
9,1783,Point (644658.047517268685624 6646362.67869382817298174)
10,6,Point (387558.15934051037766039 6521681.78796080127358437)
10,6,Point (386603.93976988934446126 6523446.72885220963507891)
10,283,Point (386603.93976988934446126 6523446.72885220963507891)
11,466,Point (15637.9034826080314815 6334389.69200186897069216)
11,845,Point (29911.26385760115226731 6320511.90357784740626812)
11,12,Point (29911.26385760115226731 6320511.90357784740626812)
11,12,Point (15637.9034826080314815 6334389.69200186897069216)
12,466,Point (15637.9034826080314815 6334389.69200186897069216)
12,11,Point (15637.9034826080314815 6334389.69200186897069216)
12,11,Point (29911.26385760115226731 6320511.90357784740626812)
12,845,Point (29911.26385760115226731 6320511.90357784740626812)
13,1717,Point (1163958.41890502721071243 6898296.60788042191416025)
13,15,Point (1163958.41890502721071243 6898296.60788042191416025)
13,14,Point (1165127.83898240374401212 6898015.35383279621601105)
14,1719,Point (1165260.31501899100840092 6899162.92090328969061375)
14,15,Point (1165260.31501899100840092 6899162.92090328969061375)
14,13,Point (1165127.83898240374401212 6898015.35383279621601105)
15,1719,Point (1165260.31501899100840092 6899162.92090328969061375)
15,1717,Point (1163958.41890502721071243 6898296.60788042191416025)
15,14,Point (1165260.31501899100840092 6899162.92090328969061375)
15,13,Point (1163958.41890502721071243 6898296.60788042191416025)
16,578,Point (89632.37984199868515134 6358475.17620608117431402)
16,18,Point (89632.37984199868515134 6358475.17620608117431402)
16,18,Point (91934.988406989548821 6353639.24407098907977343)
17,20,Point (49809.18375929183093831 6334825.72311217896640301)
17,845,Point (49809.18375929183093831 6334825.72311217896640301)
17,19,Point (50056.39207902696216479 6334929.99434067402034998)
18,16,Point (91934.988406989548821 6353639.24407098907977343)
18,16,Point (89632.37984199868515134 6358475.17620608117431402)
18,578,Point (89632.37984199868515134 6358475.17620608117431402)
19,17,Point (50056.39207902696216479 6334929.99434067402034998)
19,852,Point (50258.17806282360106707 6335219.36790472734719515)
19,20,Point (50258.17806282360106707 6335219.36790472734719515)
20,17,Point (49809.18375929183093831 6334825.72311217896640301)
20,852,Point (50258.17806282360106707 6335219.36790472734719515)
20,845,Point (49809.18375929183093831 6334825.72311217896640301)
20,19,Point (50258.17806282360106707 6335219.36790472734719515)
21,415,Point (1048785.07378076901659369 6826653.49553126189857721)
21,22,Point (1049804.01103994762524962 6826733.87541231419891119)
21,22,Point (1048785.07378076901659369 6826653.49553126189857721)
22,415,Point (1048785.07378076901659369 6826653.49553126189857721)
22,21,Point (1048785.07378076901659369 6826653.49553126189857721)
22,21,Point (1049804.01103994762524962 6826733.87541231419891119)
23,24,Point (428853.65661967813502997 6497332.99201367702335119)
23,24,Point (426129.10408310900675133 6501119.6060823081061244)
23,285,Point (426129.10408310900675133 6501119.6060823081061244)
24,23,Point (426129.10408310900675133 6501119.6060823081061244)
24,23,Point (428853.65661967813502997 6497332.99201367702335119)
24,285,Point (426129.10408310900675133 6501119.6060823081061244)
25,460,Point (583691.86455307598225772 6571369.42523330356925726)
25,32,Point (583691.86455307598225772 6571369.42523330356925726)
25,31,Point (583967.20944307884201407 6571456.17830336466431618)
26,2452,Point (328061.18342422775458544 6463134.78318920359015465)
27,460,Point (581479.07189741695765406 6564929.11660849023610353)
27,459,Point (580977.57222899259068072 6564437.14010685123503208)
27,28,Point (580977.57222899259068072 6564437.14010685123503208)
27,28,Point (581479.07189741695765406 6564929.11660849023610353)
28,460,Point (581479.07189741695765406 6564929.11660849023610353)
28,27,Point (581479.07189741695765406 6564929.11660849023610353)
28,27,Point (580977.57222899259068072 6564437.14010685123503208)
28,459,Point (580977.57222899259068072 6564437.14010685123503208)
29,254,Point (1135610.00483220024034381 6828841.47814137116074562)
29,30,Point (1142708.45345728844404221 6825901.18444483913481236)
29,30,Point (1135610.00483220024034381 6828841.47814137116074562)
30,254,Point (1135610.00483220024034381 6828841.47814137116074562)
30,29,Point (1135610.00483220024034381 6828841.47814137116074562)
30,29,Point (1142708.45345728844404221 6825901.18444483913481236)
31,32,Point (583318.1814383810851723 6571919.63116551749408245)
31,25,Point (583967.20944307884201407 6571456.17830336466431618)
31,457,Point (583318.1814383810851723 6571919.63116551749408245)
32,460,Point (583691.86455307598225772 6571369.42523330356925726)
32,25,Point (583691.86455307598225772 6571369.42523330356925726)
32,31,Point (583318.1814383810851723 6571919.63116551749408245)
32,457,Point (583318.1814383810851723 6571919.63116551749408245)
33,34,Point (315725.4600240511354059 6437712.80836849845945835)
33,34,Point (314244.87617252953350544 6435861.87506535369902849)
33,449,Point (315725.4600240511354059 6437712.80836849845945835)
34,33,Point (314244.87617252953350544 6435861.87506535369902849)
34,33,Point (315725.4600240511354059 6437712.80836849845945835)
34,449,Point (315725.4600240511354059 6437712.80836849845945835)
35,2158,Point (1245242.00244279904291034 6889999.4811162706464529)
35,37,Point (1246365.83592371316626668 6890292.31358763109892607)
35,36,Point (1245242.00244279904291034 6889999.4811162706464529)
35,2123,Point (1246365.83592371316626668 6890292.31358763109892607)
36,2158,Point (1245242.00244279904291034 6889999.4811162706464529)
36,37,Point (1245845.79299809760414064 6889860.55004686489701271)
36,35,Point (1245242.00244279904291034 6889999.4811162706464529)
37,36,Point (1245845.79299809760414064 6889860.55004686489701271)
37,2123,Point (1246365.83592371316626668 6890292.31358763109892607)
37,35,Point (1246365.83592371316626668 6890292.31358763109892607)
38,39,Point (424753.27584137098165229 6465278.1287665106356144)
38,52,Point (424155.69893048808444291 6464755.51117336191236973)
38,437,Point (424753.27584137098165229 6465278.1287665106356144)
39,38,Point (424753.27584137098165229 6465278.1287665106356144)
39,52,Point (420127.63194684579502791 6465110.22910476382821798)
39,437,Point (424753.27584137098165229 6465278.1287665106356144)
39,436,Point (420127.63194684579502791 6465110.22910476382821798)
40,811,Point (-14741.32445951411500573 6253590.30548016168177128)
40,41,Point (-14741.32445951411500573 6253590.30548016168177128)
40,41,Point (-10430.96049484866671264 6246912.5935251833871007)
40,813,Point (-10430.96049484866671264 6246912.5935251833871007)
41,811,Point (-14741.32445951411500573 6253590.30548016168177128)
41,40,Point (-10430.96049484866671264 6246912.5935251833871007)
41,40,Point (-14741.32445951411500573 6253590.30548016168177128)
41,813,Point (-10430.96049484866671264 6246912.5935251833871007)
42,441,Point (431207.30541222693864256 6457770.05617469176650047)
42,43,Point (427028.36655265017179772 6462691.30419287551194429)
42,43,Point (431207.30541222693864256 6457770.05617469176650047)
42,437,Point (427028.36655265017179772 6462691.30419287551194429)
43,441,Point (431207.30541222693864256 6457770.05617469176650047)
43,42,Point (431207.30541222693864256 6457770.05617469176650047)
43,42,Point (427028.36655265017179772 6462691.30419287551194429)
43,437,Point (427028.36655265017179772 6462691.30419287551194429)
44,440,Point (366952.97719535796204582 6433326.66095829010009766)
44,59,Point (368682.10764984472189099 6432230.28389958385378122)
44,439,Point (368682.10764984472189099 6432230.28389958385378122)
44,45,Point (366952.97719535796204582 6433326.66095829010009766)
45,440,Point (366952.97719535796204582 6433326.66095829010009766)
45,59,Point (368525.38394908769987524 6431969.82421023864299059)
45,44,Point (366952.97719535796204582 6433326.66095829010009766)
46,47,Point (-25028.87799090845510364 6252363.36818820238113403)
46,47,Point (-23233.52366017230087891 6256720.69056881126016378)
46,814,Point (-23233.52366017230087891 6256720.69056881126016378)
47,46,Point (-23233.52366017230087891 6256720.69056881126016378)
47,46,Point (-25028.87799090845510364 6252363.36818820238113403)
47,814,Point (-23233.52366017230087891 6256720.69056881126016378)
48,450,Point (351052.73004441754892468 6438574.3047481095418334)
48,49,Point (351052.73004441754892468 6438574.3047481095418334)
48,49,Point (351431.89131120836827904 6438493.00197559874504805)
48,440,Point (351431.89131120836827904 6438493.00197559874504805)
49,450,Point (351052.73004441754892468 6438574.3047481095418334)
49,48,Point (351431.89131120836827904 6438493.00197559874504805)
49,48,Point (351052.73004441754892468 6438574.3047481095418334)
49,440,Point (351431.89131120836827904 6438493.00197559874504805)
50,51,Point (347412.26504215569002554 6437422.37356667313724756)
50,450,Point (347839.9560373651329428 6437546.26637128833681345)
50,449,Point (347412.26504215569002554 6437422.37356667313724756)
50,53,Point (347839.9560373651329428 6437546.26637128833681345)
51,50,Point (347412.26504215569002554 6437422.37356667313724756)
51,449,Point (347412.26504215569002554 6437422.37356667313724756)
51,53,Point (347671.9094628719612956 6437437.13163835648447275)
52,39,Point (420127.63194684579502791 6465110.22910476382821798)
52,38,Point (424155.69893048808444291 6464755.51117336191236973)
52,436,Point (420127.63194684579502791 6465110.22910476382821798)
53,51,Point (347671.9094628719612956 6437437.13163835648447275)
53,50,Point (347839.9560373651329428 6437546.26637128833681345)
53,450,Point (347839.9560373651329428 6437546.26637128833681345)
54,57,Point (390703.77141175518045202 6437080.08106771856546402)
54,439,Point (390703.77141175518045202 6437080.08106771856546402)
54,56,Point (391520.41164989763638005 6437063.44406187441200018)
55,438,Point (407491.73836173611925915 6445453.59168947581201792)
55,62,Point (406291.97509275033371523 6443643.22761000506579876)
55,61,Point (407491.73836173611925915 6445453.59168947581201792)
56,442,Point (391962.83277463744161651 6437503.27895538508892059)
56,54,Point (391520.41164989763638005 6437063.44406187441200018)
56,57,Point (391962.83277463744161651 6437503.27895538508892059)
57,442,Point (391962.83277463744161651 6437503.27895538508892059)
57,54,Point (390703.77141175518045202 6437080.08106771856546402)
57,439,Point (390703.77141175518045202 6437080.08106771856546402)
57,56,Point (391962.83277463744161651 6437503.27895538508892059)
58,435,Point (411437.86929466488072649 6450756.6151585653424263)
58,60,Point (412144.31258766306564212 6450880.52475873101502657)
58,60,Point (411437.86929466488072649 6450756.6151585653424263)
59,439,Point (368682.10764984472189099 6432230.28389958385378122)
59,45,Point (368525.38394908769987524 6431969.82421023864299059)
59,44,Point (368682.10764984472189099 6432230.28389958385378122)
60,435,Point (411437.86929466488072649 6450756.6151585653424263)
