fid,id,length
3976,1,4328
3973,2,998
3972,3,42385
3975,4,3905
3974,5,217
3992,6,2507
3997,7,1812
3996,8,5590
3998,9,3959
3991,10,19435
4011,11,31797
4012,12,33517
4001,13,1290
4003,14,1366
4002,15,2675
4027,16,6887
4029,17,268
4028,18,7241
4031,19,352
4030,20,7562
4019,21,1093
4020,22,2627
4043,23,12771
4042,24,5273
4047,25,289
4032,26,18772
4057,27,715
4056,28,3153
4061,29,8380
4062,30,14471
4049,31,3533
4048,32,685
4051,33,2451
4050,34,11311
4053,35,7450
4052,36,639
4054,37,688
4073,38,846
4072,39,4946
4075,40,10381
4074,41,11560
4077,42,18168
4076,43,13161
4079,44,3346
4078,45,2393
4065,46,4814
4064,47,14403
4067,48,14395
4066,49,428
4069,50,3921
4068,51,260
4071,52,5729
4070,53,200
4089,54,947
4088,55,2546
4091,56,660
4090,57,1697
4081,58,747
4080,59,304
4082,60,3213
4087,61,3126
4086,62,946
3845,63,13727
3846,64,11492
3865,65,46394
3864,66,12654
3869,67,7438
3870,68,247
3859,69,10650
3858,70,15174
3860,71,205
3863,72,9955
3877,73,7080
3878,74,424
3901,75,1101
3903,76,3240
3902,77,3381
3912,78,21607
3915,79,15862
3914,80,5653
3916,81,12620
3907,82,375
3909,83,6296
3908,84,3838
3911,85,24131
3937,86,9469
3936,87,4004
3939,88,1940
3938,89,11395
3953,90,9351
3952,91,8074
3954,92,4886
3957,93,7099
3958,94,5618
3731,95,14373
3730,96,11837
3733,97,11518
3732,98,2678
3734,99,5726
3785,100,7859
3784,101,6456
3787,102,10968
3786,103,1943
3789,104,237
3788,105,8500
3791,106,1918
3790,107,38767
3801,108,25127
3800,109,28397
3802,110,11619
3797,111,3707
3799,112,736
3798,113,5277
3592,114,11575
3599,115,13867
3598,116,8708
3591,117,19633
3609,118,17166
3608,119,40546
3610,120,2757
3600,121,10014
3603,122,3984
3605,123,4899
3604,124,4998
3677,125,415
3679,126,2467
3678,127,2010
3683,128,432
3682,129,11096
3467,130,2759
3466,131,1667
3468,132,1739
3471,133,12181
3470,134,4755
3457,135,12858
3458,136,31846
3463,137,635
3462,138,41128
3481,139,1992
3480,140,585
3483,141,649
3482,142,2119
3484,143,16906
3493,144,2768
3492,145,2691
3515,146,9248
3516,147,5958
3545,148,2721
3544,149,1662
3546,150,3103
3539,151,2255
3538,152,252
3541,153,11795
3540,154,5120
3542,155,11079
3567,156,487
3557,157,7811
3558,158,408
3569,159,2163
3568,160,1729
3387,161,8517
3386,162,8284
3388,163,258
3419,164,5655
3420,165,7866
3409,166,4517
3410,167,2604
3413,168,10017
3412,169,25201
3414,170,4076
3433,171,428
3432,172,4862
3435,173,11604
3434,174,747
3437,175,2748
3436,176,1221
3439,177,14939
3438,178,1751
3425,179,31913
3424,180,30732
3426,181,136
3431,182,5096
3430,183,688
3451,184,9346
3452,185,1038
3440,186,18862
3073,187,12125
3074,188,848
3161,189,166
3160,190,11127
3159,191,6548
3181,192,7154
3180,193,2963
2843,194,487
2845,195,11017
2844,196,3819
2757,197,23406
2756,198,10182
2795,199,13584
2794,200,24074
2796,201,4316
2785,202,1024
2787,203,2376
2786,204,16669
25875,205,190792
25877,206,166009
25876,207,148239
25967,208,137816
25968,209,90047
25971,210,93833
25973,211,25658
25972,212,90517
25975,213,91295
25974,214,7533
25404,215,4220
25417,216,4216
25416,217,1537
25419,218,104405
25420,219,13743
25408,220,6987
25411,221,8727
25410,222,10964
25413,223,3509
25412,224,1561
25414,225,27932
27261,226,16146
22425,227,13158
22424,228,63507
22427,229,10527
22426,230,458
22429,231,203147
22428,232,40948
22431,233,105916
22430,234,55566
22417,235,4810
22416,236,8598
22419,237,36610
22418,238,9261
22421,239,55211
22420,240,1832
22423,241,33310
22422,242,146087
22433,243,46698
22432,244,7554
22435,245,25326
22434,246,4831
22437,247,58525
22436,248,122549
22438,249,100877
22281,250,38699
22280,251,68023
22283,252,60668
22282,253,16707
22285,254,2364
22284,255,23365
22287,256,10401
22286,257,38664
22273,258,12717
22272,259,40311
22275,260,12317
22274,261,18586
22277,262,19134
22276,263,18072
22279,264,16241
22278,265,74373
22297,266,10749
22296,267,3481
22299,268,1540
22298,269,1724
22301,270,12061
22300,271,2445
22303,272,5783
22302,273,8254
22289,274,121453
22288,275,34269
22290,276,64199
22293,277,9082
22292,278,40999
22295,279,38730
22294,280,6685
22312,281,1375
22305,282,40665
22304,283,5273
22307,284,7501
22306,285,28770
22309,286,33178
22308,287,82218
22311,288,2626
22328,289,39295
22335,290,34174
22325,291,22976
22327,292,69984
22326,293,68383
22345,294,20692
22344,295,73528
22347,296,50654
22346,297,46778
22349,298,333044
22348,299,556758
22351,300,39946
22350,301,36497
22337,302,133919
22336,303,101774
22339,304,76934
22338,305,30454
22341,306,214816
22340,307,88591
22343,308,242021
22342,309,87133
22361,310,44545
22360,311,116523
22362,312,7410
22353,313,8098
22352,314,7127
22355,315,21777
22354,316,3438
22357,317,48854
22356,318,13382
22359,319,268973
22358,320,147260
22169,321,12
22169,322,12
22168,323,53543
22171,324,37174
22170,325,50610
22173,326,5005
22172,327,20713
22175,328,59051
22174,329,49208
22166,330,28311
22185,331,10360
22184,332,115409
22187,333,2035
22186,334,31902
22177,335,10076
22176,336,11578
22179,337,28491
22178,338,25099
22181,339,5675
22180,340,47862
22183,341,5501
22182,342,8662
22209,343,17331
22210,344,5
22210,345,5
22251,346,120966
22253,347,86247
22252,348,138785
22265,349,55319
22264,350,8682
22267,351,5421
22266,352,18616
22268,353,7075
22271,354,27406
22270,355,18691
22257,356,36851
22256,357,28903
22258,358,31884
22263,359,23492
21889,360,6082
21888,361,50211
21892,362,147222
21945,363,17681
21944,364,75000
21943,365,14742
21942,366,59041
21956,367,132555
21785,368,12835
21784,369,1937
21787,370,10388
21786,371,3978
21783,372,6632
21811,373,42791
21812,374,233462
21887,375,57481
21886,376,140681
21516,377,101664
21510,378,26612
21532,379,22917
21520,380,14307
21524,381,9694
21547,382,22121
21548,383,28414
21567,384,24107
21568,385,23421
21589,386,31171
21419,387,7091
21421,388,12977
21465,389,43257
21468,390,4862
21458,391,9199
21486,392,43037
21472,393,13371
21474,394,18096
21476,395,72814
21498,396,28692
21489,397,8127
21494,398,137159
21099,399,7543
21100,400,19494
20875,401,12735
20877,402,49308
20876,403,65883
20879,404,37202
20878,405,16481
20865,406,196699
20889,407,15421
20888,408,57266
20891,409,6840
20890,410,2879
20893,411,27938
20892,412,62503
20895,413,29582
20894,414,31015
20881,415,55341
20880,416,17200
20883,417,31186
20882,418,31269
20885,419,32671
20884,420,94127
20887,421,56437
20886,422,37529
20907,423,8659
20909,424,18629
20908,425,26727
20911,426,56340
20910,427,1619
20897,428,2052
20896,429,7826
